,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
235,2013,PNC BANK NA,DC,602,210155,279.0,0.04678996004635469,#9E199C
236,2013,PNC BANK NA,DE,680,118350,155.0,0.054834239360837096,#9E199C
237,2013,PNC BANK NA,MD,4619,1022138,192.0,0.04016680886233679,#9E199C
238,2013,PNC BANK NA,VA,2270,444649,179.0,0.013887207574696261,#9E199C
239,2013,PNC BANK NA,WV,199,31149,150.0,0.018558602680031674,#9E199C
240,2013,PRESIDENTIAL BANK FSB,DC,71,31168,412.0,0.006939399370582584,#F9D924
241,2013,PRESIDENTIAL BANK FSB,DE,14,2996,211.5,0.0013881147539084742,#F9D924
242,2013,PRESIDENTIAL BANK FSB,MD,1913,545476,269.0,0.02143549132405998,#F9D924
243,2013,PRESIDENTIAL BANK FSB,VA,812,142632,161.5,0.004454660171942537,#F9D924
244,2013,PRESIDENTIAL BANK FSB,WV,19,3799,170.0,0.0022634476734867998,#F9D924
245,2013,PRIMELENDING,DC,41,14516,354.0,0.0032319148249286703,#F8963F
246,2013,PRIMELENDING,DE,187,43041,216.0,0.01994187153637338,#F8963F
247,2013,PRIMELENDING,MD,1333,353251,239.0,0.01388165335544646,#F8963F
248,2013,PRIMELENDING,VA,1716,420820,216.0,0.01314298399767835,#F8963F
249,2013,PRIMELENDING,WV,432,68883,150.0,0.04104055438083475,#F8963F
250,2013,PROSPERITY MORTGAGE COMPANY,DC,282,114820,399.5,0.02556409893898525,#BD3784
251,2013,PROSPERITY MORTGAGE COMPANY,DE,74,14240,195.0,0.006597714985199157,#BD3784
252,2013,PROSPERITY MORTGAGE COMPANY,MD,1462,406837,252.0,0.015987414632003226,#BD3784
253,2013,PROSPERITY MORTGAGE COMPANY,VA,2116,581819,252.0,0.018171279422425787,#BD3784
254,2013,PROSPERITY MORTGAGE COMPANY,WV,17,3248,154.0,0.001935161369698638,#BD3784
255,2013,QUICKEN LOANS,DC,715,244202,304.0,0.05437035437291479,#21058F
256,2013,QUICKEN LOANS,DE,1235,250456,191.0,0.11604194552900562,#21058F
257,2013,QUICKEN LOANS,MD,9008,2281515,232.0,0.08965636432805973,#21058F
258,2013,QUICKEN LOANS,VA,11999,3002264,223.0,0.09376623665416518,#21058F
